56.368,0.68688,3.0993,146.06,233.2,0.20289,1.0559,148.86,0.33917,1.2098,1.6628,0.71109,4.9121
66.979,0.61749,3.7049,159.96,286,0.25197,1.4556,108.05,0.6905,2.0955,2.1197,1.3433,6.0313
56.185,0.74457,3.4854,121.72,229.33,0.11479,0.94586,127.08,0.48086,1.3028,1.8001,0.836,5.0643
47.43,0.64014,2.6223,128.42,249.68,0.13359,0.83845,188.7,0.026373,0.33355,1.1869,0.21313,3.7855
48.705,0.73536,2.7704,128.82,203.77,0.14036,0.75887,173.33,0.12133,0.57808,1.3564,0.29525,4.12
47.948,0.68428,2.7972,121.22,236.24,0.10906,0.78897,176.68,0.10481,0.45051,1.2876,0.28812,3.9514
54.988,0.62169,3.0282,141.1,268.22,0.18064,1.0895,158.76,0.27634,1.0013,1.5355,0.64744,4.634
53.77,0.49229,3.1735,120.46,354.09,0.096206,1.1833,162.49,0.27145,0.74581,1.4043,0.68407,4.2956
55.267,0.6711,3.2274,131.23,254.24,0.14637,1.0232,145.62,0.36052,1.1065,1.6382,0.72151,4.7881
53.496,0.74126,2.9897,139.99,202.99,0.18288,0.90115,154.96,0.27174,1.0201,1.5851,0.55269,4.683
54.478,0.76723,3.0769,140.38,192.07,0.18583,0.89751,147.56,0.32325,1.146,1.665,0.61591,4.8504
56.527,0.58344,3.1496,139.9,293.98,0.1742,1.1772,153.15,0.33103,1.0972,1.5832,0.75762,4.7514
55.763,0.67304,3.2861,130.06,256.01,0.14213,1.033,141.93,0.3885,1.1573,1.6715,0.7613,4.8551
48.935,0.64277,2.8838,119.27,262.85,0.099566,0.86407,173.8,0.13829,0.49128,1.3043,0.36559,3.9975
56.856,0.70294,2.7646,171.26,198.85,0.29819,1.086,162.8,0.23911,1.2411,1.6175,0.601,4.9346
51.077,0.7714,2.6458,150.89,168.18,0.22517,0.81274,173.03,0.12653,0.81717,1.4464,0.32878,4.4175
47.515,0.71909,2.9497,110.12,229.01,0.069345,0.71875,167.85,0.15829,0.47132,1.3402,0.32158,3.9945
53.734,0.67308,2.9717,140.01,239,0.17925,0.99061,159.99,0.25135,0.95274,1.5255,0.56921,4.5824
56.355,0.64325,3.3388,128.67,274.74,0.13534,1.0836,140.5,0.40754,1.1757,1.6771,0.8091,4.8741
51.03,0.62713,2.8862,129.66,265.93,0.1378,0.95631,171.4,0.16794,0.65284,1.3654,0.44719,4.1944
51.626,0.77335,3.283,111.91,211.37,0.079273,0.7699,141.96,0.34898,0.92638,1.6163,0.58611,4.5918
